Course,Institution,Start,End,Location
PhD in Statistics,University College London,2012,2017,"London, UK"
MSc in Statistics,Federal University of Rio de Janeiro (UFRJ),2008,2010,"Rio de Janeiro, Brazil"
BSc in Applied Mathematics,Federal University of Rio de Janeiro (UFRJ),2004,2007,"Rio de Janeiro, Brazil"
