Date,Title
2023,Supervisor of SBMAC's best undergraduate project
2022,CNPq Postdoc scholarship
2017,Mentor of the winning team of the 4th FMTC
2014,Australia Awards Endeavour Fellowship
2012,CSIRO Top-up travel bursary
2012,CNPq PhD scholarship
2008,CAPES Masters scholarship
2006,CNPq Scientific Initiation scholarship
